Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_Torque_[MNm],Aero_Thrust_[MN],Aero_CP_[-],Aero_CT_[-],Aero_CQ_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN],RtAeroCp_[-],GenSpeed_[rpm],RtAeroCt_[-],GenTorque_[MNm],RtTSR_[-],TTDspFA_[m],TTDspSS_[m]
7.25,0.0,8.197,1.5243,4.6122,0.4251853897005966,0.9793619262887437,0.06044463585525174,0.18289231089128916,7.451993170820852,1.309,1.525,0.2959,0.45062559721324663,0.7385147655169196,0.06047239367529942,54.02695048845118,62.9400236458565,1.2351,0.3924,0.4631,795.1088,0.752,0.0157,7.5244,0.154,-0.0173
7.5,0.0,8.478,1.6305,4.888,0.4249287117386155,0.9639025058263985,0.06041734066553819,0.18112233129294736,7.450538591209615,1.4486,1.6316,0.3166,0.45045864019360293,0.7383777724283517,0.06045810060097645,55.87903943407211,62.9400236458565,1.3665,0.4133,0.4626,822.3633,0.7514,0.0168,7.5201,0.1657,-0.0185
7.75,0.0,8.7588,1.7403,5.1728,0.4246593931598119,0.9494595474521631,0.06039264410073995,0.1795087452762786,7.449007763473595,1.5966,1.7407,0.3378,0.44996760493692306,0.7378132853216948,0.06040652507392866,57.729810166920366,62.9400236458565,1.5068,0.4347,0.4628,849.6033,0.7516,0.0179,7.5214,0.1778,-0.0197
8.0,0.0,9.0391,1.8534,5.4771,0.42433301877289253,0.9365509632381359,0.060360456238594866,0.17837501611330958,7.4471606709796125,1.755,1.8541,0.3597,0.44967359938797563,0.7373109684323866,0.06038325343259887,59.5772853678369,62.9400236458565,1.6561,0.4569,0.4624,876.7906,0.7511,0.0191,7.5175,0.1901,-0.0209
8.25,0.0,9.3191,1.9701,5.7913,0.42399150547664743,0.9245960892172521,0.06033144162804431,0.1773501232934841,7.4451858484356865,1.9238,1.9713,0.3823,0.4494571623517602,0.736862799474162,0.060368189879378586,61.42278324959442,62.9400236458565,1.8148,0.4797,0.4623,903.9484,0.7509,0.0203,7.5148,0.2029,-0.0223
8.5,0.0,9.5987,2.0901,6.1099,0.42362157267740996,0.91367767165338,0.060296560988964264,0.1762623596892363,7.443017024212537,2.1026,2.0918,0.4055,0.44914866557991134,0.7362803971690095,0.0603456036920317,63.265644705806565,62.9400236458565,1.9831,0.5032,0.4619,931.0724,0.7503,0.0215,7.5105,0.2159,-0.0236
8.75,0.0,9.8777,2.2132,6.4232,0.4232149791520144,0.9031650868598392,0.060251502931927575,0.17486329912902457,7.440520174137217,2.2897,2.2136,0.4291,0.44837837209160064,0.7352459472046234,0.060262392413751524,65.10455152370065,62.9400236458565,2.1612,0.5271,0.4615,958.1383,0.7497,0.0228,7.5083,0.2294,-0.025
9.0,0.0,10.1563,2.3399,6.7296,0.4227491028785504,0.893528060838952,0.06021096776009949,0.17316796813469187,7.437869101783265,2.4893,2.3406,0.4535,0.4479607278203539,0.7344842769448336,0.060228980357831044,66.94082191604939,62.9400236458565,2.3492,0.5517,0.4613,985.1652,0.7492,0.0241,7.5047,0.2432,-0.0264
9.25,0.0,10.4344,2.4697,7.0697,0.4222593017902811,0.884672603917636,0.06016224935035262,0.17221891494197186,7.435005056915286,2.6999,2.4709,0.4785,0.44752027042338766,0.733649637737589,0.06019148152398522,68.7737967764664,62.9400236458565,2.5475,0.577,0.4608,1012.1338,0.7484,0.0255,7.4992,0.2572,-0.0279
9.5,0.0,10.7119,2.603,7.434,0.421710472375474,0.8762262585194258,0.06011602918107827,0.17168749939767033,7.4318754735331956,2.9216,2.6045,0.504,0.44703360403910775,0.7326112048669386,0.060150671533660535,70.60281699856536,62.9400236458565,2.7561,0.6028,0.4604,1039.0514,0.7476,0.0268,7.4946,0.2716,-0.0294
9.75,0.0,10.9889,2.7391,7.7424,0.4211495473997324,0.8680238234971296,0.06005677200589198,0.1697577859802191,7.4285683783315495,3.1528,2.7397,0.5299,0.44624442716917373,0.7312652210987741,0.060069927444979104,72.42854168873261,62.9400236458565,2.9755,0.629,0.4601,1065.92,0.7469,0.0282,7.4914,0.2864,-0.031
10.0,0.0,11.2652,2.8783,8.1148,0.42053249537403103,0.8604544039051253,0.05999283520157034,0.16913798391192825,7.424965263419549,3.3965,2.8792,0.5565,0.44557606081167217,0.7300546970166217,0.06001159403549363,74.24965263419548,62.9400236458565,3.2056,0.6559,0.4597,1092.7274,0.746,0.0297,7.4861,0.3014,-0.0326
10.25,0.0,11.5408,3.0208,8.4474,0.4198770321452331,0.8533309045239029,0.05992907450907001,0.16758635593482454,7.421087788775995,3.6538,3.0233,0.5837,0.4451059564372451,0.7288399897140798,0.05997867153180328,76.06614983495395,62.9400236458565,3.4467,0.6834,0.4593,1119.458,0.745,0.0311,7.4798,0.3167,-0.0342
10.5,0.0,11.8159,3.1669,8.812,0.419185898920637,0.8463781465189554,0.059871354146309466,0.16659394762615778,7.417081095598159,3.9194,3.1675,0.6112,0.44416253371980124,0.7272688361484402,0.05988269735654275,77.87935150378067,62.9400236458565,3.699,0.7113,0.4588,1146.1455,0.7441,0.0326,7.4753,0.3323,-0.0359
10.75,0.0,12.0903,3.3156,9.1668,0.41846200630870467,0.8395956982760789,0.059801011723881206,0.16533475517869292,7.4128315746886555,4.1989,3.3165,0.6393,0.4434047791378656,0.7257348971172218,0.0598172443546423,79.68793942790305,62.9400236458565,3.9627,0.7396,0.4583,1172.7562,0.7429,0.0342,7.4692,0.3482,-0.0376
11.0,0.0,12.1,3.5501,9.4153,0.41855596030935344,0.8251759890985585,0.0611531095602216,0.16218553630668275,7.250170249761657,4.4996,3.5511,0.6605,0.4434922994885242,0.7161066099061856,0.06117033530303455,79.75187274737823,62.9400236458565,4.2466,0.7611,0.4586,1173.6993,0.7334,0.0366,7.304,0.3604,-0.0402
11.25,0.0,12.1,3.796,9.6563,0.4183651234197192,0.8109872522607459,0.06251503633279033,0.1590263291202116,7.089055355322509,4.8113,3.7971,0.6816,0.4432973150195554,0.7065042320308338,0.06253315185965179,79.75187274737823,62.9400236458565,4.5407,0.7824,0.4586,1173.7003,0.7239,0.0391,7.1404,0.3725,-0.0431
11.5,0.0,12.1,4.0483,9.8956,0.4177017926462884,0.7972389682236349,0.06380288794090799,0.15595876242078135,6.934945456293759,5.131,4.0494,0.7027,0.44258707239403317,0.6970509182166832,0.06382022439737986,79.75187274737823,62.9400236458565,4.8425,0.8037,0.4581,1173.701,0.7144,0.0417,6.9839,0.3846,-0.0459
11.75,1.1488,12.1,4.18,9.4205,0.4043399334810586,0.7303228312528228,0.06310501548160626,0.14222028668528033,6.787393425308785,5.2978,4.181,0.6679,0.42842241991919044,0.6346378076941978,0.06312011237526215,79.75187274737823,62.9400236458565,5.0,0.7686,0.4429,1173.7027,0.6498,0.0431,6.8387,0.3656,-0.0476
12.0,2.4931,12.1,4.18,8.7505,0.37959151578598765,0.6547498137489344,0.060503029166175434,0.12665831500445413,6.645989395614852,5.2977,4.1809,0.6186,0.40219239463588535,0.5635567479965087,0.06051605613417774,79.75187274737823,62.9400236458565,5.0,0.7187,0.4152,1173.702,0.5762,0.0431,6.7002,0.3384,-0.0478
12.25,3.4797,12.1,4.1801,8.2875,0.35682228419964424,0.5988369984580529,0.05806010583201867,0.1151104344591887,6.510356958969651,5.2976,4.1809,0.5852,0.3780603465552071,0.5115903817483979,0.05807121754816556,79.75187274737823,62.9400236458565,5.0,0.685,0.3899,1173.7019,0.5226,0.0431,6.5659,0.3201,-0.048
12.5,4.3046,12.1,4.1801,7.9325,0.3358382793104316,0.5534614843035912,0.055760925641070734,0.10581649784641362,6.380149819790258,5.2975,4.1808,0.5597,0.35582065692940223,0.46992171232512137,0.05577026337173476,79.75187274737823,62.9400236458565,5.0,0.6592,0.3668,1173.702,0.4798,0.0431,6.4362,0.3062,-0.0481
12.75,5.0313,12.1,4.1801,7.6204,0.31646791139006825,0.5142160505012663,0.05359566093912988,0.09770588613204118,6.255048842931626,5.2974,4.1807,0.5379,0.33529142275954954,0.4340816283186302,0.05360335391216006,79.75187274737823,62.9400236458565,5.0,0.6372,0.3454,1173.7027,0.443,0.0431,6.3114,0.2944,-0.0482
13.0,5.6907,12.1,4.1801,7.3471,0.2985590074092793,0.47987986378908276,0.05155411024507279,0.09061343110968022,6.134759442106017,5.2973,4.1806,0.5192,0.3163113259898351,0.4030307752819343,0.05156027685714487,79.75187274737823,62.9400236458565,5.0,0.6182,0.3257,1173.7019,0.4111,0.0431,6.1911,0.2843,-0.0483
13.25,6.3008,12.1,4.1801,7.1053,0.28197629528942647,0.4494631652839636,0.0496270253124517,0.08435561420840722,6.019009263953074,5.2971,4.1805,0.5026,0.2987313267555242,0.3755614079330343,0.049631774196479586,79.75187274737823,62.9400236458565,5.0,0.6015,0.3075,1173.7021,0.3829,0.0431,6.0752,0.2754,-0.0484
13.5,6.8727,12.1,4.1801,6.8836,0.2665992538853576,0.42217324849015797,0.04780600620805104,0.07872477317139305,5.907546129435424,5.297,4.1803,0.4877,0.2824352495661478,0.3510552315237,0.04780829352204869,79.75187274737823,62.9400236458565,5.0,0.5865,0.2906,1173.7027,0.3579,0.0431,5.9635,0.2674,-0.0484
13.75,7.4139,12.1,4.1801,6.6796,0.25232026995524537,0.39752427730774015,0.04608340962071961,0.07363908588372496,5.800136199809326,5.2968,4.1802,0.4742,0.26729800117978875,0.3290382480351377,0.046084512068259635,79.75187274737823,62.9400236458565,5.0,0.5729,0.275,1173.7028,0.3354,0.0431,5.8556,0.2602,-0.0485
14.0,7.9298,12.1,4.1801,6.4929,0.23904305367280854,0.37508723637907737,0.044452268527639296,0.06904718411595635,5.696562339098445,5.2966,4.18,0.4619,0.25322308761667955,0.3091591621761168,0.044451205101679915,79.75187274737823,62.9400236458565,5.0,0.5604,0.2605,1173.7025,0.315,0.0431,5.7516,0.2537,-0.0486
14.25,8.4243,12.1,4.1801,6.317,0.22668127258483822,0.3546122489871804,0.042906221638250794,0.06484021963322174,5.596622648938823,5.2964,4.1799,0.4505,0.2401189384236674,0.2910417529034884,0.042904168758097765,79.75187274737823,62.9400236458565,5.0,0.5489,0.2469,1173.7032,0.2965,0.0431,5.6511,0.2477,-0.0487
14.5,8.9017,12.1,4.1801,6.1502,0.2151573707091514,0.3357509254179237,0.04143945127903592,0.06097005173472565,5.500129154991602,5.2962,4.1798,0.4399,0.2279032933499615,0.27447840938737156,0.04143647722688795,79.75187274737823,62.9400236458565,5.0,0.5381,0.2343,1173.7028,0.2796,0.0431,5.554,0.2422,-0.0487
